"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6498","QB","Tom","Brady","24.8","12","9300","NE@HOU","NE","HOU","","","",""
"31360","WR","Odell","Beckham Jr.","17.9","12","9300","NYG@MIA","NYG","MIA","","","",""
"16606","WR","DeAndre","Hopkins","18.5","12","8700","NE@HOU","HOU","NE","P","Hamstring","",""
"11460","TE","Rob","Gronkowski","16","11","8400","NE@HOU","NE","HOU","Q","Knee","",""
"6826","QB","Eli","Manning","18.4","12","7500","NYG@MIA","NYG","MIA","","","",""
"31394","WR","Jarvis","Landry","14.2","12","7100","NYG@MIA","MIA","NYG","P","Knee","",""
"7872","QB","Brian","Hoyer","17.4","9","7000","NE@HOU","HOU","NE","","","",""
"8117","WR","Danny","Amendola","9.7","11","7000","NE@HOU","NE","HOU","Q","Knee","",""
"21948","QB","Ryan","Tannehill","16.5","12","6900","NYG@MIA","MIA","NYG","","","",""
"22037","RB","Lamar","Miller","13.5","12","6600","NYG@MIA","MIA","NYG","","","",""
"11495","WR","Brandon","LaFell","7.1","7","6400","NE@HOU","NE","HOU","","","",""
"11779","RB","LeGarrette","Blount","10.4","11","6300","NE@HOU","NE","HOU","","","",""
"28930","RB","James","White","5.4","10","6300","NE@HOU","NE","HOU","","","",""
"14344","QB","T.J.","Yates","10.6","2","6000","NE@HOU","HOU","NE","","","",""
"33260","WR","DeVante","Parker","3.7","10","5900","NYG@MIA","MIA","NYG","","","",""
"10158","TE","Scott","Chandler","5.1","12","5800","NE@HOU","NE","HOU","Q","Knee","",""
"21999","WR","Rueben","Randle","8.2","12","5600","NYG@MIA","NYG","MIA","","","",""
"14307","WR","Cecil","Shorts","9.7","9","5600","NE@HOU","HOU","NE","P","Hamstring","",""
"6808","QB","Matt","Moore","0.4","1","5400","NYG@MIA","MIA","NYG","","","",""
"22163","WR","Rishard","Matthews","10.2","11","5400","NYG@MIA","MIA","NYG","O","Ribs","",""
"31406","RB","Alfred","Blue","6.6","12","5300","NE@HOU","HOU","NE","P","Back","",""
"22234","RB","Chris","Polk","4.9","11","5200","NE@HOU","HOU","NE","P","Knee","",""
"6610","WR","Nate","Washington","9.2","10","5200","NE@HOU","HOU","NE","","","",""
"14245","RB","Shane","Vereen","8","12","5100","NYG@MIA","NYG","MIA","","","",""
"22898","RB","Brandon","Bolden","3.2","11","5100","NE@HOU","NE","HOU","","","",""
"14358","WR","Dwayne","Harris","7.1","12","5100","NYG@MIA","NYG","MIA","","","",""
"22063","WR","Keshawn","Martin","5.2","5","5100","NE@HOU","NE","HOU","","","",""
"7900","K","Stephen","Gostkowski","10.8","12","5000","NE@HOU","NE","HOU","","","",""
"27457","WR","Kenny","Stills","4.7","12","5000","NYG@MIA","MIA","NYG","P","Ankle","",""
"21959","QB","Brandon","Weeden","9.6","4","5000","NE@HOU","HOU","NE","","","",""
"26141","QB","Ryan","Nassib","0","0","5000","NYG@MIA","NYG","MIA","","","",""
"22128","QB","Ryan","Lindley","0","0","5000","NE@HOU","NE","HOU","","","",""
"54604","QB","Jimmy","Garoppolo","-0.1","4","5000","NE@HOU","NE","HOU","","","",""
"14292","TE","Jordan","Cameron","4.6","12","5000","NYG@MIA","MIA","NYG","","","",""
"21123","TE","Larry","Donnell","6.1","8","4900","NYG@MIA","NYG","MIA","IR","Neck","",""
"12541","D","New England","Patriots","7.6","12","4900","NE@HOU","NE","HOU","","","",""
"34073","TE","Ryan","Griffin","6.9","5","4900","NE@HOU","HOU","NE","","","",""
"24847","TE","Will","Tye","4.4","9","4900","NYG@MIA","NYG","MIA","","","",""
"8052","RB","Rashad","Jennings","7.1","12","4800","NYG@MIA","NYG","MIA","","","",""
"26355","QB","Logan","Thomas","0","0","4800","NYG@MIA","MIA","NYG","","","",""
"6522","K","Josh","Brown","9.8","12","4800","NYG@MIA","NYG","MIA","","","",""
"6896","WR","Greg","Jennings","2.1","12","4700","NYG@MIA","MIA","NYG","","","",""
"12543","D","New York","Giants","9.1","12","4600","NYG@MIA","NYG","MIA","","","",""
"12539","D","Miami","Dolphins","6.8","12","4600","NYG@MIA","MIA","NYG","","","",""
"46882","RB","Jay","Ajayi","4.9","5","4600","NYG@MIA","MIA","NYG","","","",""
"27441","RB","Damien","Williams","1.6","12","4600","NYG@MIA","MIA","NYG","","","",""
"22991","RB","Jonathan","Grimes","4.3","10","4600","NE@HOU","HOU","NE","","","",""
"39373","WR","Jaelen","Strong","3.2","6","4600","NE@HOU","HOU","NE","","","",""
"28144","TE","Dion","Sims","1.8","9","4600","NYG@MIA","MIA","NYG","","","",""
"27908","TE","C.J.","Fiedorowicz","2.1","12","4500","NE@HOU","HOU","NE","","","",""
"32410","RB","Trey","Williams","0","0","4500","NE@HOU","NE","HOU","","","",""
"12090","K","Nick","Novak","5.2","9","4500","NE@HOU","HOU","NE","","","",""
"34125","WR","Geremy","Davis","0.3","10","4500","NYG@MIA","NYG","MIA","","","",""
"11538","TE","Garrett","Graham","1.4","8","4500","NE@HOU","HOU","NE","","","",""
"33691","RB","Orleans","Darkwa","1.7","12","4500","NYG@MIA","NYG","MIA","","","",""
